value,count
"[2,2/",1
"[0,0,2a/",0
"[0,1,1,2a/",0
"[0,1,17a8/",0
"[0,1,23,2a/",0
"[0,1,5,2a/",0
"[0,11,2a/",0
"[0,11,3a/",0
"[0,131a/",0
"[0,15,2a/",0
"[0,15,3a/",0
"[0,1A|2,2,A,a/",0
"[0,1A|2A,2a/",0
"[0,1A|3,7A8a/",0
"[0,1A|3,A,2a/",0
"[0,2,2,2,2,a/",0
"[0,2,A|2,2,A,a/",0
"[0,23,17a8/",0
"[0,2a,122/",0
"[0,2a,123/",0
"[0,2a,1728/",0
"[0,2a,1738/",0
"[0,2a/",0
"[0,3,a/",0
"[0,37A8|2A,2a/",0
"[0,37A8|A,1a/",0
"[0,3AB|1a,AB/",0
"[0,3AB|2a,AB/",0
"[0,3a,122/",0
"[0,3a,1728/",0
"[0,3a,1738/",0
"[0,5,17a8/",0
"[0,5,5,2a/",0
"[0,5A|2A,2a/",0
"[0,5A|A,1a/",0
"[0,ABCD|2a,ABCD/",0
"[0,ABCD|3a,ABCD/",0
"[0,ABC|2a,ABC/",0
"[0,a/",0
"[0,ba/",0
"[1,1,1,2a/",0
"[1,1,2,2a/",0
"[1,1,5,2a/",0
"[1,11,2a/",0
"[1,122a/",0
"[1,12AB|2a,AB/",0
"[1,132a/",0
"[1,14a/",0
"[1,15,2a/",0
"[1,1728a/",0
"[1,17AB8|2a,AB/",0
"[1,1A2B|2a,AB/",0
"[1,1A|1A,2a/",0
"[1,1A|2A,2a/",0
"[1,1A|2a,37A8/",0
"[1,1A|2a,5A/",0
"[1,1A|3,7A8a/",0
"[1,1A|3,A,2a/",0
"[1,2,17a8/",0
"[1,2,23,2a/",0
"[1,2,5,2a/",0
"[1,2,A|3,A,2a/",0
"[1,222AB|2a,AB/",0
"[1,227AB8|2a,AB/",0
"[1,22A2B|2a,AB/",0
"[1,24AB|2a,AB/",0
"[1,2728AB|2a,AB/",0
"[1,277AB88|2a,AB/",0
"[1,27A2B8|2a,AB/",0
"[1,2A4B|2a,AB/",0
"[1,2AB|2a,AB/",0
"[1,2a,113/",0
"[1,2a,122/",0
"[1,2a,123/",0
"[1,2a,1728/",0
"[1,2a,1738/",0
"[1,2a/",0
"[1,3,a/",0
"[1,377AB88|2a,AB/",0
"[1,37A8|1A,2a/",0
"[1,37A8|2A,2a/",0
"[1,37A8|A,1a/",0
"[1,3AB|1a,AB/",0
"[1,3AB|2a,AB/",0
"[1,47AB8|2a,AB/",0
"[1,4ABC|2a,ABC/",0
"[1,57AB8|2a,AB/",0
"[1,5A|1A,2a/",0
"[1,5A|2A,2a/",0
"[1,5A|A,1a/",0
"[1,6AB|2a,AB/",0
"[1,ABCD|2a,ABCD/",0
"[1,ABC|2,ABD|2a,CD/",0
"[1,ABC|2a,ABC/",0
"[1,ABC|2a,DE|DE,ABC/",0
"[1,ABC|3a,ABC/",0
"[1,a/",0
"[1,ba/",0
"[117A8|2,2,A,a/",0
"[117A8|2A,2a/",0
"[11AB|2a,3AB/",0
"[11A|0,A,a/",0
"[11A|13,Aa/",0
"[11A|1A,2a/",0
"[11A|1A,3a/",0
"[11A|2,2,A,a/",0
"[11A|2A,2a/",0
"[11A|2Aa/",0
"[11A|2a,37A8/",0
"[11A|2a,5A/",0
"[11A|3,7A8a/",0
"[11A|3,A,2a/",0
"[11A|37Aa8/",0
"[11A|5Aa/",0
"[12,AB|2a,3AB/",0
"[12,AB|2a,AB/",0
"[1212a/",0
"[1217a8/",0
"[1222AB|2a,AB/",0
"[124AB|2a,AB/",0
"[124AB|7AB8a/",0
"[12728AB|2a,AB/",0
"[1272AB8|2a,AB/",0
"[127A8|2,2,A,a/",0
"[127A8|2A,2a/",0
"[12A22B|2a,AB/",0
"[12A4B|2a,AB/",0
"[12A728B|2a,AB/",0
"[12AB|2a,3AB/",0
"[12AB|2a,AB/",0
"[12AB|7AB8a/",0
"[12A|1,A,a/",0
"[12A|1A,2a/",0
"[12A|1A,3a/",0
"[12A|1Aa/",0
"[12A|2,2,A,a/",0
"[12A|2,ABC|2a,BC/",0
"[12A|2A,2a/",0
"[12A|2A,BC|2a,BC/",0
"[12A|2ABC|2a,BC/",0
"[12A|2Aa/",0
"[12A|2BAC|2a,BC/",0
"[12A|2BC|2a,ABC/",0
"[12A|2BC|A,2a,BC/",0
"[12A|2BC|BC,7A8a/",0
"[12A|2Ba|2,7A8B/",0
"[12A|2Ba|27A8B/",0
"[12A|2Ba|27AB8/",0
"[12A|2Ba|27B8A/",0
"[12A|2Ba|4,A,B/",0
"[12A|2Ba|4,AB/",0
"[12A|2Ba|4AB/",0
"[12A|2Ba|A,27B8/",0
"[12A|2Ba|A,4B/",0
"[12A|2Ba|ACD|BCD/",0
"[12A|2Ba|B,27A8/",0
"[12A|2Ba|B,4A/",0
"[12A|2a,37A8/",0
"[12A|2a,5A/",0
"[12A|2a,BC|2,A,BC/",0
"[12A|3,7A8a/",0
"[12A|3,A,2a/",0
"[12A|37A8a/",0
"[12A|37Aa8/",0
"[12A|37a8A/",0
"[12A|5,A,a/",0
"[12A|5Aa/",0
"[12A|77A88a/",0
"[12A|7A8BC|2a,BC/",0
"[12A|A,1a/",0
"[12A|A,2BC|2a,BC/",0
"[12A|A,37a8/",0
"[12A|A,5a/",0
"[12A|a,1A/",0
"[12A|a,37A8/",0
"[12A|a,5A/",0
"[13,2a,1728/",0
"[13,2a/",0
"[13,3a/",0
"[13,ABCD|2a,ABCD/",0
"[13,ABC|2a,ABC/",0
"[13,AB|2a,AB/",0
"[13,Aa|0,2,A/",0
"[137228a/",0
"[1377288a/",0
"[137A8|1A,2a/",0
"[137A8|2A,2a/",0
"[13AB|2a,AB/",0
"[13AB|7AB8a/",0
"[13a/",0
"[142AB|2a,AB/",0
"[142AB|7AB8a/",0
"[15A|0,A,a/",0
"[15A|1A,2a/",0
"[15A|2A,2a/",0
"[15A|2Aa/",0
"[16,2a/",0
"[16AB|2ABa/",0
"[16AB|2BAa/",0
"[16AB|2a,AB/",0
"[16AB|7AB8a/",0
"[17228AB|2a,AB/",0
"[1722AB8|2a,AB/",0
"[17282AB|2a,AB/",0
"[1738A|0,A,a/",0
"[1738A|1A,2a/",0
"[1738A|2A,2a/",0
"[173A8|1A,2a/",0
"[173A8|2A,2a/",0
"[1748AB|2a,AB/",0
"[174AB8|2a,AB/",0
"[177288AB|2a,AB/",0
"[17728AB8|2a,AB/",0
"[17A22B8|2a,AB/",0
"[17A4B8|2a,AB/",0
"[17A728B8|2a,AB/",0
"[17AB8|2a,3AB/",0
"[17AB8|2a,AB/",0
"[17AB8|3,2a,AB/",0
"[17AB8|7AB8a/",0
"[17a8/",0
