count,genome
308,"C_3⊕1"
246,"S_1⊕1"
172,"S_11"
165,"S_10"
122,"S_1"
119,"S_9"
113,"S_13"
110,"S_7"
101,"S_5"
78,"S_14"
76,"S_15"
70,"C_4"
53,"S_6"
50,"S_16"
46,"S_17"
42,"S_8"
41,"S_18"
41,"S_19"
37,"S_20"
32,"(2,2,{0,1},{},[C_3,S_1,S_1⊕1])"
21,"(0,0,{2},{1},[C_3,C_4])"
21,"(0,2,{0,1},{},[S_1⊕1])"
21,"(0,3,{1,2},{},[C_3,S_1⊕1])"
20,"(2,3,{2},{},[C_3,S_1,S_1⊕1])"
18,"C_3"
16,"(0,1,{0,2},{},[S_1⊕1])"
15,"(0,3,{0,1},{},[C_3,C_4,S_1⊕1])"
13,"(0,3,{0},{1},[C_4,S_1⊕1])"
10,"(0,3,{2},{},[C_3,S_1⊕1])"
6,"(2,3,{2},{},[S_1,S_1⊕1])"
