S_93	3ABC|2ABaC
S_94	3ABC|3ABCa
S_95	3ABC|2,ABCa
S_96	3ABC|2ABCa
S_97	3ABC|a,2ABC
S_98	3ABC|2,a,ABC
S_99	3ABC|2a,ABC
S_100	2,2227a8
S_101	4ABC|ABCa
S_102	3A|ABCD|BCDa
S_103	4A|A,22a
S_104	2ABC|2ABCa
S_105	4A|A,23a
S_106	2ABa|4,AB
S_107	2A3B|2ABa
S_108	22AB|2ABa
S_109	4A|2,A,2a
S_110	ABa|AB,223
S_111	3AB|CDa|ABCD
S_112	ABCa|3A3BC
S_113	2,a,26
S_114	ABCa|22ABC
S_115	ABCa|23ABC
S_116	ABCa|27ABC8
S_117	4AB|3a,AB
S_118	3A|ABCD|a,BCD
S_119	4AB|a,3AB
S_120	4AB|3ABa
S_121	4AB|3,ABa
S_122	4A|ABC|BCa
S_123	2AB|2A3Ba
S_124	AB|2ACD|BCDa
S_125	4A|2,3Aa
S_126	2,ABa|4,AB
S_127	2A3B|2,ABa
S_128	22AB|2,ABa
S_129	AB|2AC|3BaC
S_130	AB|5AC|BCa
S_131	4A|4,Aa
S_132	ABCa|2,3ABC
S_133	4,AB|a,2AB
S_134	2AB|3A7a8B
S_135	2ABC|a,3ABC
S_136	2AB|a,5AB
S_137	2ABC|3,a,ABC
S_138	3AB|ACD|BCDa
S_139	2A3B|a,2AB
S_140	4A|a,23A
S_141	22AB|a,2AB
S_142	AB|ACDE|a,BCDE
S_143	2AB|ACD|BCDa
S_144	3ABC|3ABaC
S_145	2AB|2,3AaB
S_146	AB|ACD|2,BCDa
S_147	AB|AC|1BaC
S_148	2ABC|2ABaC
S_149	2AB|23aAB
S_150	ABCa|2A2BC
S_151	2A2B|3AaB
S_152	2ABC|a,2ABC
S_153	2ABC|2,ABCa
S_154	2AaB|4,AB
S_155	2AB|5ABa
S_156	2AB|2,a,3AB
S_157	ABCa|2A3BC
S_158	4,AB|2,a,AB
S_159	2ABC|3ABaC
S_160	2AaB|2,3AB
S_161	2A3B|2AaB
S_162	2AB|5AaB
S_163	4A|a,22A
S_164	22AB|2AaB
S_165	3ABaC|2,ABC
S_166	ABCa|2,2,ABC
S_167	ABa|22A2B
S_168	ABCa|2,2ABC
S_169	3AB|AB,23a
S_170	3AB|1a,AB
S_171	ABa|3,5AB
S_172	Aa|1,1A
S_173	ABa|35AB
S_174	ABa|12,AB
S_175	ABCa|3,3ABC
S_176	ABCa|33ABC
S_177	5ABC|ABCa
S_178	1ABC|ABCa
S_179	3,2AB|3a,AB
S_180	3AaB|27AB8
S_181	22AB|3a,AB
S_182	22AB|3AaB
S_183	ABCa|23,ABC
S_184	ABCa|1,ABC
S_185	1AB|3AaB
S_186	5AB|3AaB
S_187	5AB|3a,AB
S_188	3A|12,Aa
S_189	3AaB|2,2AB
S_190	ABCa|2,3,ABC
S_191	4,25a
S_192	3A|2a,5A
S_193	3ABC|3,ABCa
S_194	2A2B|2AaB
S_195	2Aa|232A
S_196	2A2B|2,ABa
S_197	2A2B|2ABa
S_198	3AaB|2,2,AB
S_199	2A2B|a,2AB
S_200	AB|AC|2BD|CDa
S_201	2,2AB|2,ABa
S_202	6A|2Aa
S_203	1,2,2,2,a
S_204	AB|2AC|2BCa
S_205	AB|ACa|4,BC
S_206	24A|2Aa
S_207	2AaB|2,2AB
S_208	3,2227a8
S_209	3A|22A2a
S_210	3A|222Aa
S_211	3,2222a
S_212	227382a
S_213	122a2
S_214	2252a
S_215	3,a,26
S_216	222738a
S_217	2225a
S_218	1222a
S_219	3a,2222
S_220	ABa|3A5B
S_221	ABCa|3,2ABC
S_92	2A2B|7AB8a
S_29	12,2a
S_31	1,1a
S_33	133a
S_34	1,3,2a
S_35	23,23a
S_36	5,23a
S_37	1,23a
S_38	33,4a
S_39	2,3,5a
S_40	334a
S_41	235a
S_42	275a8
S_43	3a,223
S_44	12,3a
S_45	2337a8
S_47	225a
S_48	2,3,23a
S_49	1,2,3,a
S_50	2,a,13
S_51	a,225
S_52	1,1,a
S_53	2227a8
S_54	2,2,23a
S_55	2,2,5a
S_56	2222a
S_57	a,2222
S_58	1,2,2,a
S_60	22728a
S_61	224a
S_63	2,6a
S_64	234a
S_65	2232a
S_67	4,23a
S_71	a,22728
S_72	a,26
S_73	a,2223
S_74	a,234
S_75	2,a,12
S_82	4,1a
S_83	a,45
S_84	2a,223
S_87	2,25a
S_88	3,a,24
S_90	1,4,a
S_91	1a,23
S_27	2ABC|ABCa
S_28	2AB|3ABa
S_30	4AB|ABa
S_32	ABa|33AB
S_46	3AB|3,ABa
S_59	3A|4,Aa
S_62	AB|22AaB
S_66	3ABC|ABCa
S_68	ABa|3,2AB
S_69	ABa|22AB
S_70	4A|3Aa
S_76	3A|A,23a
S_77	3A|A,1a
S_78	3A|5Aa
S_79	3A|a,5A
S_80	3A|37a8A
S_81	3A|2,3,Aa
S_85	3A|22Aa
S_86	3A|2,2,Aa
S_89	3A|1,A,a
