rep	genome
1,1,a	(1,4,{1},{},[S_22,S_2⊕1,S_9])
1,1a	S_31
1,2,2,2,a	(3,2,{3},{},[(2,3,{2},{},[S_1,S_1⊕1,S_2⊕1,S_9]),S_1,S_1⊕1,S_2])
1,2,2,a	(2,3,{2},{},[S_1,S_1⊕1,S_2⊕1,S_9])
1,2,3,a	(1,4,{1,2},{},[S_1,S_2⊕1,S_4,S_8,S_9])
1,23a	(1,2,{0,1,3},{},[S_1,S_14,S_25,S_26,S_2⊕1])
1,3,2a	(1,0,{1,3},{},[S_1,S_20,S_6,S_8])
1,4,a	(3,4,{1,3},{},[S_17,S_1⊕1,S_22,S_2⊕1,S_5,S_9])
12,2a	S_29
12,3a	(1,2,{1,3},{},[S_1,S_22,S_25,S_4])
1222a	(4,0,{1,4},{},[(1,4,{0,1,3},{},[S_18,S_5,S_6,S_7]),(2,1,{0,2},{},[S_1⊕1,S_2⊕1,S_7]),(3,1,{0,2,3},{},[S_18,S_1⊕1,S_2⊕1,S_7]),(3,1,{0},{0},[S_1⊕1,S_2⊕1,S_3,S_5]),S_1,S_20])
122a2	(4,0,{1,4},{},[(1,1,{0},{0,2},[S_2⊕1,S_5]),(1,4,{0,1},{},[S_18,S_2⊕1,S_7]),(2,1,{0,2},{},[S_1⊕1,S_2⊕1,S_7]),(3,1,{0,2,3},{},[S_18,S_1⊕1,S_2⊕1,S_7]),(3,1,{0,3},{},[S_1⊕1,S_5,S_7]),S_1,S_20])
133a	(1,0,{1,3},{},[S_1,S_20,S_23,S_25])
1ABC|ABCa	(2,0,{1},{},[(1,1,{0},{0,2},[S_2⊕1,S_5]),S_1,S_27,S_30,S_3⊕1])
1AB|3AaB	(2,0,{1},{},[(3,1,{0},{0},[S_1⊕1,S_5]),(3,1,{0},{},[S_1⊕1,S_2⊕1,S_4,S_5]),S_1,S_2,S_28,S_3⊕1])
1a,23	S_31
2,2,23a	(2,1,{0,2,3},{},[S_10,S_14,S_1⊕1,S_2⊕1,S_7])
2,2,5a	(2,1,{0,2,3},{},[S_12,S_14,S_1⊕1,S_2⊕1,S_7])
2,2227a8	(1,0,{1,3},{},[(2,1,{0,2,3},{},[S_12,S_14,S_1⊕1,S_2⊕1,S_7]),(2,1,{0,2,3},{},[S_12,S_1⊕1,S_2⊕1,S_7]),(2,1,{0,2},{},[S_1⊕1,S_2⊕1,S_7]),(2,3,{0},{0,1},[S_2⊕1,S_3]),S_1,S_12,S_14,S_25])
2,25a	(3,4,{0,1,3},{},[S_10,S_12,S_14,S_1⊕1,S_20,S_21,S_2⊕1,S_4,S_8])
2,2AB|2,ABa	(3,2,{1,3},{},[S_1,S_12,S_1⊕1,S_2⊕1,S_8])
2,3,23a	(1,4,{0,1,3},{},[S_10,S_14,S_20,S_2⊕1,S_4,S_6,S_8])
2,3,5a	(1,2,{0,1,3},{},[S_12,S_14,S_20,S_2⊕1,S_4,S_6,S_8])
2,6a	(3,1,{0,3},{},[S_10,S_16,S_18,S_1⊕1,S_2⊕1])
2,ABa|4,AB	(1,2,{1,3},{},[S_1,S_12,S_18,S_1⊕2,S_2⊕1])
2,a,12	(3,1,{3},{},[S_17,S_1⊕1,S_22,S_2⊕1,S_5,S_9])
2,a,13	(1,4,{1,3},{},[S_17,S_22,S_2⊕1,S_4,S_5,S_8,S_9])
2,a,26	(1,0,{1},{},[(2,1,{2},{},[S_1⊕1,S_2⊕1,S_9]),(2,3,{0},{0,1},[S_2⊕1,S_3]),(3,1,{2,3},{},[S_1⊕1,S_2⊕1,S_5,S_8,S_9]),(3,1,{2,3},{},[S_1⊕1,S_2⊕1,S_8,S_9]),(3,3,{2},{0,1,2},[S_2,S_2⊕1,S_3]),S_1,S_22,S_25,S_9])
2222a	(2,1,{0,2},{},[S_10,S_1⊕1,S_2⊕1])
2225a	(4,0,{1,4},{},[(1,4,{0,1,3},{},[S_12,S_2⊕1,S_4,S_6,S_7,S_8]),(2,1,{0,2},{},[S_1⊕1,S_2⊕1,S_7]),(3,1,{0,2,3},{},[S_12,S_1⊕1,S_2⊕1,S_4,S_7]),(3,1,{0},{0,2},[S_2⊕1,S_3]),(3,4,{0,1,3},{},[S_1,S_1⊕1,S_2⊕1,S_7,S_8]),S_1,S_20,S_4⊕1])
222738a	(4,0,{1,4},{},[(1,4,{0,1,3},{},[S_12,S_18,S_2⊕1,S_4,S_5,S_6,S_7,S_8]),(2,1,{0,2},{},[S_1⊕1,S_2⊕1,S_7]),(3,1,{0,2,3},{},[S_12,S_1⊕1,S_2⊕1,S_4,S_7]),(3,1,{0,2,3},{},[S_18,S_1⊕1,S_2⊕1,S_7]),(3,1,{0},{0,2},[S_2⊕1,S_3]),(3,1,{0},{0},[S_1⊕1,S_2⊕1,S_3,S_5]),(3,4,{0,1,3},{},[S_1,S_1⊕1,S_2⊕1,S_7,S_8]),S_1,S_20,S_4⊕1])
2227a8	(2,1,{0,2,3},{},[S_10,S_12,S_1⊕1,S_2⊕1])
2232a	(3,1,{0,3},{},[S_10,S_1⊕1,S_21,S_2⊕1,S_8])
224a	(3,1,{0,2,3},{},[S_10,S_18,S_1⊕1,S_2⊕1])
2252a	(4,0,{1,4},{},[(1,1,{0},{0,2},[S_2⊕1,S_5]),(1,4,{0,1},{},[S_21,S_2⊕1,S_7,S_8]),(2,1,{0,2},{},[S_1⊕1,S_2⊕1,S_7]),(3,1,{0,3},{},[S_1⊕1,S_21,S_2⊕1,S_7,S_8]),(3,4,{0,1,3},{},[S_1,S_1⊕1,S_2⊕1,S_7,S_8]),(3,4,{0,3},{},[S_1,S_1⊕1,S_5,S_7]),S_1,S_20])
225a	(1,4,{0,1,3},{},[S_10,S_12,S_20,S_2⊕1,S_4,S_8])
22728a	(3,1,{0,2,3},{},[S_10,S_18,S_1⊕1,S_26,S_2⊕1,S_5])
227382a	(4,0,{1,4},{},[(1,1,{0},{0,2},[S_2⊕1,S_5]),(1,4,{0,1},{},[S_18,S_21,S_2⊕1,S_7,S_8]),(2,1,{0,2},{},[S_1⊕1,S_2⊕1,S_7]),(3,1,{0,2,3},{},[S_18,S_1⊕1,S_2⊕1,S_7]),(3,1,{0,3},{},[S_1⊕1,S_21,S_2⊕1,S_7,S_8]),(3,1,{0,3},{},[S_1⊕1,S_5,S_7]),(3,4,{0,1,3},{},[S_1,S_1⊕1,S_2⊕1,S_7,S_8]),(3,4,{0,3},{},[S_1,S_1⊕1,S_5,S_7]),S_1,S_20])
22AB|2,ABa	(1,2,{1,3},{},[S_1,S_12,S_2⊕1,S_8])
22AB|2ABa	(1,0,{1,3},{},[S_1,S_20,S_3⊕1,S_8])
22AB|2AaB	(1,4,{1},{},[S_1,S_2⊕1,S_8,S_9])
