encoding	0,Z	0,0,Z	1Z	1,1Z	22,Z	0Z	2Z	3,Z
3ABC|2ABaC	3	0	2	4	2	0	3	6
3ABC|3ABCa	0	0	1	1	1	0	0	6
3ABC|2,ABCa	3	0	2	4	2	0	3	4
3ABC|2ABCa	0	0	1	1	1	0	0	4
3ABC|a,2ABC	3	0	2	4	2	0	3	4
3ABC|2,a,ABC	3	0	2	5	2	0	3	6
3ABC|2a,ABC	0	0	1	1	1	0	0	5
2,2227a8	0	0	1	1	1	0	0	3
4ABC|ABCa	0	0	1	1	1	0	0	3
3A|ABCD|BCDa	4	5	5	5	5	0	4	3
4A|A,22a	0	0	1	1	1	0	0	3
2ABC|2ABCa	0	0	1	1	1	0	0	3
4A|A,23a	0	0	1	1	1	0	0	3
2ABa|4,AB	0	0	1	1	1	0	0	3
2A3B|2ABa	0	0	1	1	1	0	0	3
22AB|2ABa	0	0	1	1	1	0	0	3
4A|2,A,2a	0	0	1	1	1	0	0	3
ABa|AB,223	0	0	1	5	1	0	0	3
3AB|CDa|ABCD	3	0	2	5	2	0	3	3
ABCa|3A3BC	0	0	1	1	1	0	0	3
2,a,26	0	0	1	1	1	0	0	3
ABCa|22ABC	0	0	1	1	1	0	0	3
ABCa|23ABC	0	0	1	1	1	0	0	3
ABCa|27ABC8	0	0	1	1	1	0	0	3
4AB|3a,AB	2	3	3	6	3	0	2	3
3A|ABCD|a,BCD	3	5	2	5	2	0	3	3
4AB|a,3AB	2	3	3	6	3	0	2	3
4AB|3ABa	2	3	3	6	3	0	2	3
4AB|3,ABa	2	3	3	6	3	0	2	3
4A|ABC|BCa	0	0	1	1	1	1	0	3
2AB|2A3Ba	4	4	5	3	5	2	4	3
AB|2ACD|BCDa	0	0	1	1	1	2	0	3
4A|2,3Aa	0	0	1	1	1	2	0	3
2,ABa|4,AB	0	0	1	1	1	2	0	3
2A3B|2,ABa	0	0	1	1	1	2	0	3
22AB|2,ABa	0	0	1	1	1	2	0	3
AB|2AC|3BaC	2	5	3	1	3	2	2	3
AB|5AC|BCa	0	0	1	1	1	2	0	3
4A|4,Aa	0	0	1	1	1	2	0	3
ABCa|2,3ABC	3	0	2	4	2	2	3	3
4,AB|a,2AB	0	0	1	1	1	2	0	3
2AB|3A7a8B	0	0	1	1	1	2	0	3
2ABC|a,3ABC	0	0	1	1	1	2	0	3
2AB|a,5AB	0	0	1	1	1	2	0	3
2ABC|3,a,ABC	0	0	1	1	1	2	0	3
3AB|ACD|BCDa	0	0	1	1	1	2	0	3
2A3B|a,2AB	0	0	1	1	1	2	0	3
4A|a,23A	0	0	1	1	1	2	0	3
22AB|a,2AB	0	0	1	1	1	2	0	3
AB|ACDE|a,BCDE	0	0	1	1	1	2	0	3
2AB|ACD|BCDa	2	5	3	1	3	2	2	3
3ABC|3ABaC	0	0	1	1	1	3	0	6
2AB|2,3AaB	2	4	3	3	3	4	2	3
AB|ACD|2,BCDa	2	7	3	3	3	4	2	3
AB|AC|1BaC	2	3	3	3	3	4	2	3
2ABC|2ABaC	4	4	5	1	5	4	4	5
2AB|23aAB	4	4	5	1	5	4	4	5
ABCa|2A2BC	0	0	1	1	1	4	0	5
2A2B|3AaB	0	0	1	1	1	4	0	5
2ABC|a,2ABC	4	4	5	1	5	4	4	5
2ABC|2,ABCa	2	4	3	1	3	4	2	3
2AaB|4,AB	0	0	1	1	1	4	0	3
2AB|5ABa	0	0	1	1	1	4	0	3
2AB|2,a,3AB	2	5	3	1	3	4	2	3
ABCa|2A3BC	3	3	2	5	2	4	3	3
4,AB|2,a,AB	0	0	1	1	1	4	0	3
2ABC|3ABaC	0	0	1	1	1	4	0	3
2AaB|2,3AB	0	0	1	1	1	4	0	3
2A3B|2AaB	0	0	1	1	1	4	0	3
2AB|5AaB	0	0	1	1	1	4	0	3
4A|a,22A	0	0	1	1	1	4	0	3
22AB|2AaB	0	0	1	1	1	4	0	3
3ABaC|2,ABC	0	0	1	1	1	4	0	3
ABCa|2,2,ABC	0	0	1	1	1	4	0	5
ABa|22A2B	0	0	1	3	1	4	0	0
ABCa|2,2ABC	0	0	1	1	1	4	0	3
3AB|AB,23a	0	0	1	2	1	0	0	5
3AB|1a,AB	3	3	2	2	2	0	3	5
ABa|3,5AB	3	4	2	2	2	0	3	1
Aa|1,1A	3	4	2	2	2	0	3	1
ABa|35AB	3	4	2	2	2	0	3	1
ABa|12,AB	0	0	1	5	1	0	0	3
ABCa|3,3ABC	0	0	1	2	1	0	0	1
ABCa|33ABC	0	0	1	2	1	0	0	1
5ABC|ABCa	0	0	1	2	1	0	0	1
1ABC|ABCa	0	0	1	2	1	0	0	1
3,2AB|3a,AB	3	2	2	2	2	0	3	1
3AaB|27AB8	0	0	1	2	1	0	0	1
22AB|3a,AB	0	0	1	2	1	0	0	1
22AB|3AaB	0	0	1	2	1	0	0	1
ABCa|23,ABC	0	0	1	2	1	0	0	1
ABCa|1,ABC	0	0	1	2	1	0	0	1
1AB|3AaB	0	0	1	2	1	0	0	1
5AB|3AaB	0	0	1	2	1	0	0	1
5AB|3a,AB	0	0	1	2	1	0	0	1
3A|12,Aa	3	3	2	2	2	1	3	0
3AaB|2,2AB	0	0	1	4	1	2	0	3
ABCa|2,3,ABC	3	0	2	4	2	2	3	3
4,25a	3	3	2	2	2	3	3	6
3A|2a,5A	3	3	2	2	2	3	3	0
3ABC|3,ABCa	0	0	1	2	1	3	0	6
2A2B|2AaB	4	3	5	5	5	3	4	5
2Aa|232A	3	3	2	2	2	3	3	1
2A2B|2,ABa	4	5	5	5	5	4	4	5
2A2B|2ABa	4	4	5	5	5	4	4	1
3AaB|2,2,AB	0	0	1	5	1	4	0	5
2A2B|a,2AB	4	3	5	5	5	4	4	5
AB|AC|2BD|CDa	1	1	0	3	0	1	1	0
2,2AB|2,ABa	2	4	3	3	3	2	2	4
6A|2Aa	2	2	3	3	3	2	2	1
1,2,2,2,a	5	2	4	4	4	2	5	1
AB|2AC|2BCa	2	4	3	3	3	2	2	4
AB|ACa|4,BC	2	4	3	3	3	2	2	4
24A|2Aa	2	2	3	3	3	2	2	1
2AaB|2,2AB	2	5	3	3	3	4	2	5
3,2227a8	0	0	1	2	1	0	0	1
3A|22A2a	5	6	4	4	4	0	5	1
3A|222Aa	0	0	1	1	1	0	0	1
3,2222a	0	0	1	1	1	0	0	1
227382a	0	0	1	1	1	0	0	1
122a2	0	0	1	1	1	0	0	1
2252a	0	0	1	1	1	0	0	1
3,a,26	0	0	1	2	1	0	0	1
222738a	0	0	1	1	1	0	0	1
2225a	0	0	1	1	1	0	0	1
1222a	0	0	1	1	1	0	0	1
3a,2222	0	0	1	2	1	0	0	1
ABa|3A5B	0	0	1	2	1	0	0	1
ABCa|3,2ABC	3	2	2	4	2	4	3	3
2A2B|7AB8a	3	3	2	2	2	4	3	1
12,2a	2	2	3	3	3	2	2	1
1,1a	0	0	1	1	1	2	0	3
133a	0	0	1	1	1	0	0	3
1,3,2a	0	0	1	1	1	0	0	3
23,23a	2	4	3	3	3	2	2	3
5,23a	2	4	3	3	3	2	2	3
1,23a	2	4	3	3	3	2	2	3
33,4a	2	5	3	3	3	2	2	3
2,3,5a	2	4	3	3	3	2	2	3
334a	2	5	3	3	3	2	2	3
235a	4	4	5	3	5	2	4	3
275a8	2	4	3	3	3	2	2	3
3a,223	2	5	3	1	3	2	2	3
12,3a	2	5	3	1	3	2	2	3
2337a8	4	4	5	1	5	2	4	3
225a	2	5	3	3	3	4	2	3
2,3,23a	2	4	3	3	3	4	2	3
1,2,3,a	4	4	5	1	5	4	4	5
2,a,13	2	5	3	1	3	4	2	3
a,225	2	5	3	1	3	4	2	3
1,1,a	0	0	1	1	1	4	0	3
2227a8	4	4	5	5	5	1	4	0
2,2,23a	1	4	0	0	0	1	1	0
2,2,5a	4	4	5	5	5	1	4	0
2222a	1	5	0	0	0	1	1	0
