encoding	0,0,17Z8	17Z8	0,17Z8	1,17Z8
3ABC|2ABaC	4	3	0	1
3ABC|3ABCa	6	0	0	1
3ABC|2,ABCa	4	3	0	1
3ABC|2ABCa	4	0	0	1
3ABC|a,2ABC	4	3	0	1
3ABC|2,a,ABC	6	3	0	1
3ABC|2a,ABC	6	0	0	1
2,2227a8	4	0	3	2
4ABC|ABCa	4	0	3	2
3A|ABCD|BCDa	9	4	3	2
4A|A,22a	4	0	3	2
2ABC|2ABCa	4	0	3	2
4A|A,23a	4	0	3	2
2ABa|4,AB	4	0	5	4
2A3B|2ABa	4	0	4	4
22AB|2ABa	4	0	3	2
4A|2,A,2a	4	0	3	2
ABa|AB,223	6	0	0	1
3AB|CDa|ABCD	6	3	0	1
ABCa|3A3BC	4	0	0	1
2,a,26	4	0	0	1
ABCa|22ABC	4	0	0	1
ABCa|23ABC	4	0	0	1
ABCa|27ABC8	4	0	0	1
4AB|3a,AB	6	2	0	1
3A|ABCD|a,BCD	9	3	0	1
4AB|a,3AB	6	2	0	1
4AB|3ABa	6	2	0	1
4AB|3,ABa	6	2	0	1
4A|ABC|BCa	5	0	4	4
2AB|2A3Ba	9	4	7	6
AB|2ACD|BCDa	4	0	5	5
4A|2,3Aa	8	0	3	2
2,ABa|4,AB	8	0	5	4
2A3B|2,ABa	8	0	4	4
22AB|2,ABa	7	0	3	2
AB|2AC|3BaC	8	2	5	6
AB|5AC|BCa	6	0	3	2
4A|4,Aa	4	0	5	5
ABCa|2,3ABC	9	3	0	1
4,AB|a,2AB	8	0	0	1
2AB|3A7a8B	8	0	0	1
2ABC|a,3ABC	6	0	0	1
2AB|a,5AB	6	0	0	1
2ABC|3,a,ABC	6	0	0	1
3AB|ACD|BCDa	6	0	0	1
2A3B|a,2AB	6	0	0	1
4A|a,23A	6	0	0	1
22AB|a,2AB	8	0	0	1
AB|ACDE|a,BCDE	5	0	0	1
2AB|ACD|BCDa	8	2	5	6
3ABC|3ABaC	6	0	0	1
2AB|2,3AaB	8	2	5	6
AB|ACD|2,BCDa	8	2	5	6
AB|AC|1BaC	6	2	0	1
2ABC|2ABaC	8	4	7	6
2AB|23aAB	8	4	7	6
ABCa|2A2BC	8	0	0	1
2A2B|3AaB	8	0	0	1
2ABC|a,2ABC	8	4	0	1
2ABC|2,ABCa	8	2	5	6
2AaB|4,AB	6	0	5	4
2AB|5ABa	6	0	3	2
2AB|2,a,3AB	8	2	5	6
ABCa|2A3BC	9	3	0	1
4,AB|2,a,AB	8	0	0	1
2ABC|3ABaC	6	0	0	1
2AaB|2,3AB	8	0	0	1
2A3B|2AaB	6	0	0	1
2AB|5AaB	6	0	0	1
4A|a,22A	6	0	0	1
22AB|2AaB	8	0	0	1
3ABaC|2,ABC	6	0	0	1
ABCa|2,2,ABC	9	0	0	1
ABa|22A2B	8	0	3	2
ABCa|2,2ABC	9	0	3	2
3AB|AB,23a	9	0	0	1
3AB|1a,AB	6	3	0	1
ABa|3,5AB	6	3	3	2
Aa|1,1A	6	3	3	2
ABa|35AB	6	3	3	2
ABa|12,AB	9	0	3	2
ABCa|3,3ABC	6	0	3	2
ABCa|33ABC	6	0	3	2
5ABC|ABCa	4	0	3	2
1ABC|ABCa	4	0	3	2
3,2AB|3a,AB	6	3	3	2
3AaB|27AB8	4	0	3	2
22AB|3a,AB	4	0	3	2
22AB|3AaB	4	0	3	2
ABCa|23,ABC	9	0	3	2
ABCa|1,ABC	9	0	3	2
1AB|3AaB	4	0	3	2
5AB|3AaB	4	0	3	2
5AB|3a,AB	4	0	3	2
3A|12,Aa	9	3	4	4
3AaB|2,2AB	9	0	3	2
ABCa|2,3,ABC	9	3	3	2
4,25a	6	3	0	1
3A|2a,5A	6	3	4	4
3ABC|3,ABCa	10	0	0	1
2A2B|2AaB	8	4	3	2
2Aa|232A	7	3	3	2
2A2B|2,ABa	8	4	3	2
2A2B|2ABa	8	4	3	2
3AaB|2,2,AB	10	0	3	2
2A2B|a,2AB	6	4	3	2
AB|AC|2BD|CDa	5	1	2	3
2,2AB|2,ABa	7	2	6	5
6A|2Aa	8	2	5	5
1,2,2,2,a	7	5	2	3
AB|2AC|2BCa	7	2	6	5
AB|ACa|4,BC	8	2	4	5
24A|2Aa	8	2	2	3
2AaB|2,2AB	8	2	5	6
3,2227a8	10	0	3	2
3A|22A2a	1	5	3	2
3A|222Aa	3	0	3	2
3,2222a	3	0	3	2
227382a	3	0	3	2
122a2	3	0	3	2
2252a	3	0	3	2
3,a,26	9	0	6	4
222738a	3	0	3	2
2225a	3	0	3	2
1222a	3	0	3	2
3a,2222	10	0	5	4
ABa|3A5B	9	0	3	2
ABCa|3,2ABC	1	3	3	2
2A2B|7AB8a	8	3	3	2
12,2a	8	2	5	5
1,1a	8	0	3	2
133a	4	0	3	2
1,3,2a	4	0	3	2
23,23a	6	2	7	6
5,23a	6	2	7	6
1,23a	6	2	7	6
33,4a	6	2	5	4
2,3,5a	8	2	7	6
334a	8	2	5	6
235a	9	4	7	6
275a8	8	2	7	6
3a,223	8	2	5	4
12,3a	6	2	5	4
2337a8	9	4	7	6
225a	8	2	5	6
2,3,23a	8	2	5	6
1,2,3,a	8	4	0	1
2,a,13	5	2	5	6
a,225	5	2	5	6
1,1,a	5	0	0	1
2227a8	9	4	4	5
2,2,23a	9	1	7	6
2,2,5a	9	4	4	5
2222a	5	1	5	4
a,2222	8	4	3	2
1,2,2,a	6	4	3	2
22728a	5	1	2	3
224a	5	1	2	3
2,6a	5	1	2	3
234a	5	1	2	3
2232a	5	1	2	3
4,23a	8	2	1	0
a,22728	8	4	2	3
a,26	8	4	2	3
a,2223	8	4	2	3
a,234	5	2	2	3
2,a,12	5	2	2	3
4,1a	5	2	1	0
a,45	8	2	5	6
2a,223	8	2	5	5
2,25a	9	4	7	5
3,a,24	8	2	5	6
1,4,a	5	2	5	4
1a,23	8	0	3	2
2ABC|ABCa	8	1	2	3
2AB|3ABa	5	1	2	3
4AB|ABa	8	1	2	3
ABa|33AB	5	2	0	1
3AB|3,ABa	8	2	5	6
3A|4,Aa	4	2	2	3
AB|22AaB	5	1	2	3
3ABC|ABCa	7	1	2	3
ABa|3,2AB	7	2	2	3
ABa|22AB	7	2	2	3
4A|3Aa	5	1	2	3
3A|A,23a	8	2	7	5
3A|A,1a	8	2	6	5
3A|5Aa	8	2	5	6
3A|a,5A	8	2	6	5
3A|37a8A	8	2	6	5
3A|2,3,Aa	7	2	5	5
3A|22Aa	8	2	5	6
3A|2,2,Aa	7	4	7	6
3A|1,A,a	8	2	5	6
