count,genome
4235,"S_1"
3719,"S_2"
3120,"S_1⊕1"
2645,"(1,2,{1,3},{},[S_1,S_12,S_2⊕1,S_3⊕1])"
2364,"(3,2,{3},{},[S_1,S_15,S_1⊕1])"
2041,"S_8⊕1"
1821,"S_4⊕1"
1801,"(3,2,{3},{},[S_1,S_15,S_1⊕1,S_8])"
1696,"(1,0,{1},{},[S_1,S_3⊕1])"
1659,"S_12⊕1"
1574,"(1,0,{1},{},[S_1,S_15,S_8])"
1571,"(1,0,{1,3},{},[S_1,S_3⊕1,S_6])"
1189,"(3,1,{0},{0,2},[S_2⊕1,S_3,S_5])"
1149,"S_5⊕1"
1097,"(1,0,{1},{},[S_1,S_15])"
1004,"S_3⊕1"
998,"(3,1,{0},{},[S_1⊕1,S_2⊕1,S_4,S_5])"
928,"(1,1,{0},{0,2},[S_2⊕1,S_5])"
906,"S_25"
858,"S_30"
823,"S_23⊕1"
768,"(3,2,{1,3},{},[S_1,S_15,S_1⊕1,S_8])"
760,"(1,1,{3},{0},[S_15,S_23,S_2⊕1,S_3⊕1,S_5])"
718,"S_2⊕1"
711,"S_9⊕1"
687,"S_20"
677,"S_28"
665,"(1,2,{1},{0},[S_1,S_3⊕1])"
577,"(3,2,{3},{},[S_1,S_12,S_1⊕1,S_5,S_8])"
567,"(3,3,{2},{0,2},[S_2,S_2⊕1])"
565,"(3,1,{0},{0,2},[S_2⊕1,S_3])"
562,"(1,0,{1},{},[S_1,S_8])"
559,"(1,0,{1,3},{},[S_1,S_3⊕1,S_6,S_8])"
529,"S_21⊕1"
516,"(3,2,{1,3},{},[S_1,S_12,S_1⊕1,S_2⊕1,S_8])"
495,"(3,1,{0},{0},[S_1⊕1,S_2⊕1,S_3,S_5])"
495,"S_23"
493,"S_14⊕1"
477,"(3,2,{0,1,3},{},[S_1,S_1⊕1,S_21,S_3⊕1,S_8])"
470,"(2,1,{0},{0},[S_2⊕1,S_3])"
467,"(1,4,{0,1,3},{},[S_12,S_2⊕1,S_4,S_6,S_7,S_8])"
467,"S_22⊕1"
456,"(0,1,{0,3},{},[S_15,S_1⊕1,S_8])"
454,"S_19⊕1"
453,"S_9"
436,"(1,0,{1,3},{},[S_1,S_12,S_21,S_23,S_6,S_8])"
431,"S_12"
413,"(3,2,{1,3},{},[S_1,S_1⊕1,S_3⊕1,S_6,S_8])"
407,"(3,2,{1,3},{},[S_1,S_12,S_1⊕1,S_3⊕1,S_5,S_8])"
398,"(1,4,{1,2,3},{},[S_1,S_12,S_2⊕1,S_4,S_6,S_9])"
385,"(1,2,{3},{0},[S_1,S_23,S_2⊕1,S_3⊕1,S_5])"
380,"(1,4,{1},{},[S_1,S_2⊕1,S_8,S_9])"
380,"(3,4,{0,1,3},{},[S_1,S_1⊕1,S_2⊕1,S_7,S_8])"
376,"(1,2,{3},{},[S_1,S_12,S_15,S_23,S_2⊕1,S_4])"
370,"(1,2,{1},{0},[S_1,S_15,S_23,S_3⊕1])"
360,"(3,0,{3},{2},[S_1,S_15,S_3,S_3⊕1])"
358,"(3,0,{3},{},[S_1,S_3,S_8])"
357,"(2,3,{1,2},{},[S_1,S_1⊕1])"
351,"S_8"
338,"(1,1,{3},{0},[S_19,S_23,S_2⊕1,S_3⊕1,S_5])"
337,"(1,4,{1,3},{},[S_1,S_12,S_2⊕1,S_7])"
337,"(3,0,{3},{2},[S_15,S_3,S_3⊕1])"
332,"(1,0,{1,3},{},[S_1,S_12,S_23,S_6])"
332,"(1,1,{0,3},{},[S_12,S_15,S_19,S_2⊕1,S_3⊕1,S_4])"
330,"S_27⊕1"
324,"(3,1,{0,3},{},[S_18,S_1⊕1,S_21,S_2⊕1,S_7,S_8])"
319,"(3,2,{0,3},{},[S_1,S_18,S_1⊕1,S_5,S_8])"
316,"(2,0,{1},{},[S_1,S_12,S_2,S_27,S_3⊕1,S_5⊕1])"
316,"(3,1,{0,3},{},[S_1⊕1,S_21,S_2⊕1,S_7,S_8])"
314,"(1,2,{3},{0},[S_1,S_15,S_23,S_3⊕1,S_5])"
314,"(1,4,{1,3},{},[S_1,S_12,S_2⊕1,S_4,S_6,S_7,S_8])"
313,"(1,2,{3},{},[S_1,S_12,S_23,S_2⊕1,S_3⊕1,S_4,S_5,S_8])"
312,"(1,1,{2},{0,2},[(2,3,{0},{0,1}),S_2⊕1,S_3⊕1])"
309,"(1,1,{3},{0,2,3},[(2,3,{0},{0,1}),(3,3,{2},{0,1,2}),S_2⊕1,S_3⊕1])"
309,"(1,4,{1,2,3},{},[S_1,S_12,S_2⊕1,S_4,S_6,S_8,S_9])"
304,"(1,2,{1,3},{},[S_1,S_12,S_3⊕1,S_4,S_6,S_8])"
302,"(1,2,{1,3},{},[S_1,S_12,S_23,S_2⊕1])"
302,"(2,1,{0,2},{},[S_1⊕1,S_2⊕1,S_7])"
300,"(1,2,{0,1},{},[S_1,S_21,S_2⊕1,S_3⊕1])"
296,"(1,2,{1,3},{},[S_1,S_12,S_3⊕1,S_5,S_8])"
294,"S_2⊕2"
288,"(3,1,{0},{0},[S_2⊕1,S_3,S_5])"
287,"S_1⊕2"
283,"(4,2,{3},{},[(3,3,{2},{0,1,2}),S_12,S_15,S_2,S_27,S_2⊕1,S_2⊕2,S_4])"
279,"(1,2,{3},{0},[S_1,S_15,S_3⊕1,S_5])"
279,"(3,4,{3},{2},[S_1,S_15,S_1⊕1,S_3,S_3⊕1,S_5])"
279,"S_22"
277,"(1,1,{3},{0},[S_23,S_2⊕1,S_3⊕1,S_5])"
272,"(3,4,{2},{0},[S_1,S_1⊕1,S_3⊕1,S_5])"
271,"S_19"
261,"(2,4,{0,2,3},{},[S_1,S_12,S_1⊕1,S_21,S_2⊕1])"
260,"S_27"
257,"(3,1,{0,3},{},[S_12,S_14,S_18,S_1⊕1,S_2⊕1,S_4,S_7])"
