enc	genome
3A|2A,4a	(0,0,{1,2,3},{},[(1,2,{0,1,3},{},[S_1,S_14,S_2⊕1,S_3⊕1]),(3,2,{0,1,3},{},[S_1,S_14,S_18,S_1⊕1,S_2⊕1]),(3,2,{0,3},{},[S_1,S_14,S_1⊕1,S_3⊕1,S_5,S_8]),(3,3,{2},{0,2},[S_2,S_2⊕1]),S_18,S_18⊕1,S_8,S_8⊕1])
3775a88	(0,0,{1,2,4},{},[(1,1,{0,3},{},[S_21,S_23,S_2⊕1,S_3⊕1,S_4,S_8]),(1,2,{0,1,3},{},[S_12,S_13,S_14,S_18,S_21,S_23,S_2⊕1,S_6,S_8]),(1,2,{0,1,3},{},[S_12,S_14,S_23,S_2⊕1,S_4,S_6,S_8]),(1,2,{0,1,3},{},[S_12,S_19,S_21,S_6,S_8]),(1,2,{3},{},[S_1,S_12,S_23,S_2⊕1,S_4,S_5,S_8]),(1,4,{1,2,3},{},[S_12,S_2⊕1,S_4,S_5,S_6,S_9]),(1,4,{1,2,3},{},[S_12,S_2⊕1,S_4,S_6,S_9]),(3,1,{0,2,3},{},[S_12,S_1⊕1,S_21,S_2⊕1,S_4]),(3,1,{0,3},{},[S_12,S_13,S_18,S_1⊕1,S_4,S_5]),(3,1,{0,3},{},[S_13,S_1⊕1,S_2⊕1,S_5,S_8]),(3,1,{0},{0},[S_15,S_1⊕1,S_23,S_2⊕1]),(3,2,{0,1,3},{},[S_12,S_18,S_1⊕1,S_2⊕1,S_4,S_6,S_8]),(3,2,{1,3},{},[S_1,S_1⊕1,S_3⊕1,S_6,S_8]),S_2,S_4⊕1])
37758a8	(0,0,{1,2,4},{},[(1,1,{0,3},{},[S_21,S_23,S_2⊕1,S_3⊕1,S_4,S_8]),(1,2,{0,1,3},{},[S_12,S_13,S_14,S_18,S_23,S_2⊕1,S_4,S_5,S_6,S_8]),(1,2,{0,1,3},{},[S_12,S_14,S_21,S_23,S_2⊕1,S_6,S_8]),(1,2,{0,1,3},{},[S_12,S_18,S_19,S_21,S_23,S_6,S_8]),(1,2,{3},{},[S_1,S_12,S_23,S_2⊕1,S_4,S_5,S_8]),(1,4,{1,2,3},{},[S_12,S_2⊕1,S_4,S_5,S_6,S_9]),(1,4,{1,2,3},{},[S_12,S_2⊕1,S_4,S_6,S_9]),(3,1,{0,2,3},{},[S_12,S_1⊕1,S_21,S_2⊕1,S_4]),(3,1,{0,3},{},[S_13,S_16,S_18,S_1⊕1,S_21,S_2⊕1,S_4,S_8]),(3,1,{0,3},{},[S_13,S_1⊕1,S_2⊕1,S_5,S_8]),(3,1,{0},{0},[S_15,S_1⊕1,S_23,S_2⊕1]),(3,2,{0,1,3},{},[S_12,S_18,S_1⊕1,S_2⊕1,S_4,S_6,S_8]),(3,2,{1,3},{},[S_1,S_1⊕1,S_3⊕1,S_6,S_8]),S_2,S_4⊕1,S_5⊕1])
5758a	(0,0,{1,2,4},{},[(1,1,{0,3},{},[S_21,S_23,S_2⊕1,S_3⊕1,S_4,S_8]),(1,2,{0,1,3},{},[S_12,S_14,S_21,S_23,S_2⊕1,S_6,S_8]),(1,2,{0,1,3},{},[S_12,S_14,S_23,S_2⊕1,S_4,S_6,S_8]),(1,2,{0,1,3},{},[S_12,S_19,S_21,S_6,S_8]),(1,2,{3},{},[S_1,S_12,S_23,S_2⊕1,S_4,S_5,S_8]),(1,4,{1,2,3},{},[S_12,S_2⊕1,S_4,S_6,S_9]),(3,1,{0,2,3},{},[S_12,S_1⊕1,S_21,S_2⊕1,S_4]),(3,1,{0},{0},[S_15,S_1⊕1,S_23,S_2⊕1]),(3,2,{1,3},{},[S_1,S_1⊕1,S_3⊕1,S_6,S_8]),S_2,S_4⊕1])
377588a	(0,0,{1,2,4},{},[(1,1,{3},{},[S_12,S_13,S_14,S_16,S_2⊕1,S_4,S_5]),(1,2,{0,1,3},{},[S_12,S_14,S_21,S_23,S_2⊕1,S_6,S_8]),(1,2,{0,1,3},{},[S_12,S_21,S_2⊕1,S_6,S_8]),(1,2,{1,3},{},[S_12,S_21,S_23,S_2⊕1,S_6,S_8]),(1,2,{3},{},[S_1,S_12,S_23,S_2⊕1,S_4,S_5,S_8]),(1,4,{1,2,3},{},[S_12,S_21,S_2⊕1,S_4,S_5,S_9]),(1,4,{1,2,3},{},[S_12,S_2⊕1,S_4,S_6,S_9]),(1,4,{1,3},{},[S_12,S_16,S_21,S_23,S_2⊕1,S_4,S_6]),(3,1,{0,2,3},{},[S_12,S_1⊕1,S_21,S_2⊕1,S_4]),(3,1,{0,3},{},[S_13,S_16,S_18,S_1⊕1,S_21,S_2⊕1,S_4,S_8]),(3,1,{0,3},{},[S_13,S_1⊕1,S_2⊕1,S_5,S_8]),(3,2,{1,3},{},[S_1,S_12,S_1⊕1,S_3⊕1,S_5,S_8]),(3,4,{0,1},{},[S_16,S_1⊕1,S_21,S_2⊕1,S_8]),S_2,S_4⊕1,S_5⊕1])
137a38	(0,0,{1,2,4},{},[(1,1,{3},{},[S_12,S_4,S_5,S_9]),(1,2,{1,3},{},[S_1,S_12,S_13,S_2⊕1,S_6]),(1,2,{1,3},{},[S_1,S_12,S_15,S_23,S_2⊕1,S_6]),(1,2,{1,3},{},[S_12,S_18,S_2⊕1,S_6]),(1,2,{3},{},[S_1,S_12,S_23,S_2⊕1,S_4,S_5,S_8]),(1,4,{1,2,3},{},[S_12,S_21,S_2⊕1,S_4,S_5,S_9]),(3,1,{0,3},{},[S_13,S_16,S_18,S_1⊕1,S_21,S_2⊕1,S_4,S_8]),(3,1,{0},{0},[S_1⊕1,S_5]),(3,1,{3},{},[S_12,S_15,S_16,S_18,S_1⊕1,S_4,S_5]),S_2,S_4⊕1])
1,1,3a	(0,0,{1,2,4},{},[(1,2,{0,1,3},{},[S_1,S_12,S_14,S_2⊕1]),(1,2,{1,3},{},[S_1,S_12,S_22,S_4]),(1,4,{0,1,2,3},{},[S_1,S_14,S_4,S_7,S_9]),(1,4,{1},{},[S_22,S_2⊕1,S_9]),S_4⊕1])
127a38	(0,0,{1,2},{},[(1,1,{0},{0,2},[S_2⊕1,S_5]),(1,1,{3},{},[S_12,S_16,S_2⊕1,S_4,S_5,S_7]),(1,2,{1,3},{},[S_12,S_15,S_18,S_2⊕1,S_5,S_6]),(1,2,{1,3},{},[S_12,S_18,S_2⊕1,S_6]),(1,4,{0,1},{},[S_18,S_2⊕1,S_7]),(3,1,{0,2,3},{},[S_16,S_18,S_1⊕1,S_2⊕1,S_7]),(3,1,{0,3},{},[S_12,S_18,S_1⊕1,S_4,S_5,S_7]),(3,1,{0},{0},[S_1⊕1,S_5]),(3,1,{3},{},[S_12,S_15,S_16,S_18,S_1⊕1,S_4,S_5]),S_28,S_4⊕1])
1273a8	(0,0,{1,2},{},[(1,1,{0},{0,2},[S_2⊕1,S_5]),(1,1,{3},{},[S_12,S_16,S_2⊕1,S_4,S_5,S_7]),(1,2,{1,3},{},[S_12,S_15,S_18,S_2⊕1,S_5,S_6]),(1,2,{1,3},{},[S_12,S_5,S_6]),(1,4,{0,1,3},{},[S_18,S_5,S_6,S_7]),(3,1,{0,3},{},[S_12,S_18,S_1⊕1,S_2⊕1,S_4]),(3,1,{3},{},[S_12,S_15,S_16,S_18,S_1⊕1,S_4,S_5]),(3,4,{0,1},{},[S_16,S_18,S_1⊕1,S_2⊕1]),S_27,S_28,S_4⊕1])
3,ABC|3a,ABC	(0,0,{1,2},{},[(1,1,{3},{},[S_11,S_2⊕1,S_5,S_8]),(1,2,{3},{},[S_1,S_11,S_15,S_4]),(3,1,{0},{},[S_1⊕1,S_2⊕1,S_4,S_5]),(3,2,{3},{},[S_1,S_15,S_1⊕1,S_5,S_8]),S_4⊕1,S_8⊕1])
1,3738a	(0,0,{1,2},{},[(1,1,{3},{},[S_12,S_13,S_14,S_16,S_2⊕1,S_4,S_5]),(1,2,{0,1,3},{},[S_1,S_12,S_14,S_2⊕1]),(1,2,{0,1,3},{},[S_12,S_13,S_14,S_18,S_23,S_2⊕1,S_4,S_5,S_6,S_8]),(1,2,{0,1,3},{},[S_12,S_14,S_23,S_2⊕1,S_4,S_6,S_8]),(1,4,{0,1,3},{},[S_12,S_14,S_18,S_2⊕1,S_4,S_5,S_6,S_8,S_9]),(1,4,{1,3},{},[S_12,S_2⊕1,S_4,S_9]),(3,2,{0,1,3},{},[S_1,S_14,S_18,S_1⊕1,S_2⊕1]),S_12⊕1,S_2,S_4⊕1,S_5⊕1,S_8⊕1])
1,13a	(0,0,{1,2},{},[(1,1,{3},{},[S_12,S_13,S_14,S_16,S_2⊕1,S_4,S_5]),(1,2,{0,1,3},{},[S_1,S_12,S_14,S_2⊕1]),(1,2,{0,1,3},{},[S_12,S_14,S_18,S_4,S_5,S_6]),(1,2,{0,1,3},{},[S_13,S_14,S_18,S_5,S_6]),(3,2,{0,1,3},{},[S_1,S_14,S_18,S_1⊕1,S_2⊕1]),S_12⊕1,S_4⊕1,S_5⊕1])
173a38	(0,0,{1,2},{},[(1,1,{3},{},[S_12,S_4,S_5,S_9]),(1,2,{1,3},{},[S_1,S_12,S_13,S_2⊕1,S_6]),(1,2,{1,3},{},[S_12,S_18,S_2⊕1,S_6]),(1,4,{1,3},{},[S_12,S_2⊕1,S_4,S_9]),(3,1,{0,3},{},[S_12,S_13,S_18,S_1⊕1,S_4,S_5]),S_2,S_4⊕1])
1,35a	(0,0,{1,2},{},[(1,2,{0,1,3},{},[S_1,S_12,S_14,S_2⊕1]),(1,2,{0,1,3},{},[S_12,S_14,S_23,S_2⊕1,S_4,S_6,S_8]),(1,4,{0,1,3},{},[S_12,S_14,S_2⊕1,S_4,S_6,S_8,S_9]),(1,4,{1,3},{},[S_12,S_2⊕1,S_4,S_9]),S_12⊕1,S_2,S_4⊕1,S_8⊕1])
1233a	(0,0,{1,2},{},[(1,2,{0,1,3},{},[S_12,S_18,S_2⊕1,S_4,S_6,S_8]),(1,2,{1,3},{},[S_12,S_5,S_6]),(1,4,{0,1,3},{},[S_12,S_2⊕1,S_4,S_6,S_7,S_8]),(1,4,{0,1,3},{},[S_18,S_5,S_6,S_7]),(3,1,{0},{0},[S_1⊕1,S_2⊕1,S_3,S_5]),(3,2,{1,3},{},[S_1⊕1,S_3⊕1,S_6,S_8]),S_28])
12738a	(0,0,{1,2},{},[(1,2,{1,3},{},[S_12,S_5,S_6]),(1,4,{0,1,3},{},[S_12,S_18,S_2⊕1,S_4,S_5,S_6,S_7,S_8]),(1,4,{0,1,3},{},[S_18,S_5,S_6,S_7]),(3,1,{0},{0},[S_1⊕1,S_2⊕1,S_3,S_5]),(3,2,{0,1,3},{},[S_12,S_18,S_1⊕1,S_2⊕1,S_4,S_5,S_6,S_8]),(3,2,{0,1,3},{},[S_18,S_1⊕1,S_5,S_6]),(3,2,{1,3},{},[S_1⊕1,S_3⊕1,S_6,S_8]),S_27,S_28])
125a	(0,0,{1,2},{},[(1,2,{1,3},{},[S_12,S_5,S_6]),(1,4,{0,1,3},{},[S_12,S_2⊕1,S_4,S_6,S_7,S_8]),(1,4,{0,1,3},{},[S_18,S_5,S_6,S_7]),(3,1,{0},{0},[S_1⊕1,S_2⊕1,S_3,S_5]),(3,2,{0,1,3},{},[S_12,S_18,S_1⊕1,S_2⊕1,S_4,S_6,S_8]),(3,2,{1,3},{},[S_1⊕1,S_3⊕1,S_6,S_8]),S_28])
121a	(0,0,{1,2},{},[(1,4,{0,1,3},{},[S_18,S_5,S_6,S_7]),(3,2,{0,1,3},{},[S_18,S_1⊕1,S_5,S_6]),S_27])
Aa|1,3,2A	(0,0,{1},{1,3},[(1,1,{0},{0,2},[S_2⊕1,S_5]),(1,1,{0},{0,2},[S_2⊕1]),(3,3,{2},{0,2},[S_2,S_2⊕1]),S_2])
Aa|3,12A	(0,0,{1},{1,3},[(1,1,{0},{0,2},[S_2⊕1,S_5]),(3,1,{0},{0,2},[S_2⊕1,S_3,S_5]),(3,3,{0},{0,1,2},[S_2⊕1,S_3,S_5]),(3,3,{2},{0,2},[S_2,S_2⊕1]),S_30])
Aa|1738A	(0,0,{1},{1,3},[(1,1,{0},{0,2},[S_2⊕1,S_5]),(3,1,{0},{0,2},[S_2⊕1,S_3,S_5]),(3,3,{0},{1,2},[S_2⊕1,S_3]),S_30])
Aa|3,17A8	(0,0,{1},{1,3},[(1,1,{0},{0,2},[S_2⊕1,S_5]),(3,1,{0},{0,2},[S_2⊕1,S_3,S_5]),(3,3,{2},{0,2},[S_2,S_2⊕1]),S_2,S_30])
