enc	genome
ABCD|ABCDa	(0,1,{0,3},{},[(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),S_11,S_15,S_1⊕1])
2Aa|33A	(0,1,{0,3},{},[(2,3,{2},{},[S_1,S_1⊕1]),S_10,S_1⊕1])
ABCD|a,ABCD	(0,1,{3},{},[S_11,S_19,S_1⊕1])
AB|AC|BD|CDa	(0,3,{2},{},[C_3,S_1⊕1])
1,3,2a	(1,0,{1,3},{},[(0,1,{0,2},{},[S_1⊕1]),S_1,S_10,S_5])
3,23,2a	(1,0,{1,3},{},[(0,1,{0,2},{},[S_1⊕1]),S_1,S_10,S_5])
3,5,2a	(1,0,{1,3},{},[(0,1,{0,2},{},[S_1⊕1]),S_1,S_10])
1,3,3a	(1,0,{1,3},{},[(0,1,{0,2},{},[S_1⊕1]),S_1,S_5,S_9])
1738a	(1,0,{1,3},{},[(0,3,{1,2},{},[C_3,S_1⊕1]),S_16,S_5,S_9])
3,17a8	(1,0,{1,3},{},[S_1,S_10,S_16,S_5,S_9])
133a	(1,0,{1,3},{},[S_1,S_16,S_5,S_9])
3,13a	(1,0,{1,3},{},[S_1,S_16,S_5,S_9])
3,12a	(1,0,{1,3},{},[S_10,S_16,S_17,S_5,S_9])
15a	(1,0,{1,3},{},[S_16,S_5,S_9])
11a	(1,0,{3},{},[(0,3,{1,2},{},[C_3,S_1⊕1]),S_5])
3AB|3AaB	(1,1,{0,3},{},[(0,3,{0,1},{},[C_3,C_4,S_1⊕1]),(0,3,{0},{1},[C_4,S_1⊕1]),C_3⊕1,S_10,S_13,S_16])
ABCa|3,ABC	(1,1,{0,3},{},[(0,3,{1,2},{},[C_3,S_1⊕1]),C_3⊕1,S_10,S_11])
Aa|12A	(1,1,{0},{0,2},[C_3⊕1,S_11])
Aa|2,3,2A	(1,1,{0},{0,2},[C_3⊕1])
ABa|3,3,AB	(1,1,{0},{0},[(2,3,{2},{},[S_1,S_1⊕1]),C_3⊕1,S_11,S_16])
ABa|3,3AB	(1,1,{0},{0},[(2,3,{2},{},[S_1,S_1⊕1]),C_3⊕1,S_11,S_16])
ABa|33,AB	(1,1,{0},{0},[(2,3,{2},{},[S_1,S_1⊕1]),C_3⊕1,S_11,S_16])
ABa|33AB	(1,1,{0},{0},[(2,3,{2},{},[S_1,S_1⊕1]),C_3⊕1,S_11,S_16])
2773a88	(1,1,{3},{},[(0,3,{1,2},{},[C_3,S_1⊕1]),(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_11,S_13,S_17,S_7,S_9])
3,ABC|a,ABC	(1,1,{3},{},[(0,3,{2},{},[C_3,S_1⊕1]),C_3⊕1,S_10,S_11])
2273a8	(1,1,{3},{},[(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_11,S_13,S_14,S_7,S_9])
343a	(1,1,{3},{},[S_11,S_13,S_6,S_7,S_9])
27338a	(1,2,{0,1,3},{},[(0,0,{2},{1},[C_3,C_4]),(0,3,{0,1},{},[C_3,C_4,S_1⊕1]),S_10,S_16,S_17,S_20,S_5,S_7])
3,3,4a	(1,2,{0,1,3},{},[(0,0,{2},{1},[C_3,C_4]),S_1,S_13,S_15,S_5,S_9])
33,4a	(1,2,{0,1,3},{},[(0,0,{2},{1},[C_3,C_4]),S_1,S_13,S_15,S_5,S_9])
3,3,27a8	(1,2,{0,1,3},{},[(0,0,{2},{1},[C_3,C_4]),S_1,S_18,S_5,S_9])
23738a	(1,2,{0,1,3},{},[(0,0,{2},{1},[C_3,C_4]),S_10,S_15,S_16,S_20,S_5,S_7,S_9])
3,2738a	(1,2,{0,1,3},{},[(0,0,{2},{1},[C_3,C_4]),S_10,S_16,S_17,S_20,S_5,S_7,S_9])
235a	(1,2,{0,1,3},{},[(0,0,{2},{1},[C_3,C_4]),S_10,S_20,S_5,S_7,S_9])
3,25a	(1,2,{0,1,3},{},[(0,0,{2},{1},[C_3,C_4]),S_10,S_20,S_5,S_7,S_9])
2,3,37a8	(1,2,{0,1,3},{},[(0,1,{0,2},{},[S_1⊕1]),C_3⊕1,S_10,S_13,S_18,S_5,S_7])
2,3,5a	(1,2,{0,1,3},{},[(0,1,{0,2},{},[S_1⊕1]),C_3⊕1,S_10,S_13,S_18,S_5,S_7])
3777a888	(1,2,{0,1,3},{},[(0,3,{0,1},{},[C_3,C_4,S_1⊕1]),(0,3,{1,2},{},[C_3,S_1⊕1]),(2,3,{2},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_10,S_16,S_5,S_9])
277388a	(1,2,{0,1,3},{},[(0,3,{0,1},{},[C_3,C_4,S_1⊕1]),(0,3,{1,2},{},[C_3,S_1⊕1]),C_3⊕1,S_10,S_15,S_16,S_17,S_20,S_5,S_7])
2758a	(1,2,{0,1,3},{},[(0,3,{0,1},{},[C_3,C_4,S_1⊕1]),C_3⊕1,S_10,S_16,S_17,S_20,S_5,S_7])
177a88	(1,2,{0,1,3},{},[(0,3,{1,2},{},[C_3,S_1⊕1]),(2,3,{2},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_5,S_9])
27738a8	(1,2,{0,1,3},{},[(0,3,{1,2},{},[C_3,S_1⊕1]),C_3⊕1,S_10,S_11,S_13,S_15,S_16,S_17,S_5,S_7,S_9])
172a8	(1,2,{0,1,3},{},[(0,3,{1,2},{},[C_3,S_1⊕1]),C_3⊕1,S_15,S_17,S_5])
1728a	(1,2,{0,1,3},{},[(0,3,{1,2},{},[C_3,S_1⊕1]),S_11,S_15,S_17,S_5])
23,27a8	(1,2,{0,1,3},{},[C_3⊕1,S_1,S_17,S_18,S_5,S_9])
1,23a	(1,2,{0,1,3},{},[C_3⊕1,S_1,S_17,S_18,S_9])
1,27a8	(1,2,{0,1,3},{},[C_3⊕1,S_1,S_17,S_18,S_9])
5,23a	(1,2,{0,1,3},{},[C_3⊕1,S_1,S_18,S_5])
5,27a8	(1,2,{0,1,3},{},[C_3⊕1,S_1,S_18,S_5])
3,34a	(1,2,{0,1,3},{},[C_3⊕1,S_10,S_13,S_15,S_5,S_7,S_9])
334a	(1,2,{0,1,3},{},[C_3⊕1,S_10,S_13,S_15,S_5,S_7,S_9])
2733a8	(1,2,{0,1,3},{},[C_3⊕1,S_10,S_13,S_16,S_17,S_5,S_7,S_9])
275a8	(1,2,{0,1,3},{},[C_3⊕1,S_10,S_13,S_16,S_17,S_5,S_7,S_9])
3,273a8	(1,2,{0,1,3},{},[C_3⊕1,S_10,S_13,S_16,S_17,S_5,S_7,S_9])
27383a	(1,2,{0,1,3},{},[C_3⊕1,S_10,S_15,S_20,S_5,S_7,S_9])
253a	(1,2,{0,1,3},{},[C_3⊕1,S_10,S_20,S_5,S_7,S_9])
2,13a	(1,2,{0,1,3},{},[S_11,S_13,S_15,S_18,S_5,S_7,S_9])
132a	(1,2,{0,1,3},{},[S_15,S_16,S_20,S_5])
33,27a8	(1,2,{0,1},{},[(0,0,{2},{1},[C_3,C_4]),S_1,S_18,S_5])
3377a88	(1,2,{1,3},{},[(0,0,{2},{1},[C_3,C_4]),(0,3,{0,1},{},[C_3,C_4,S_1⊕1]),S_1,S_10,S_16,S_5,S_9])
3737a88	(1,2,{1,3},{},[(0,0,{2},{1},[C_3,C_4]),(2,3,{2},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_1,S_10,S_16,S_5,S_9])
357a8	(1,2,{1,3},{},[(0,0,{2},{1},[C_3,C_4]),C_3⊕1,S_1,S_10,S_5,S_9])
2337a8	(1,2,{1,3},{},[(0,0,{2},{1},[C_3,C_4]),C_3⊕1,S_10,S_13,S_20,S_5,S_7,S_9])
3,237a8	(1,2,{1,3},{},[(0,0,{2},{1},[C_3,C_4]),C_3⊕1,S_10,S_13,S_20,S_5,S_7,S_9])
3,377a88	(1,2,{1,3},{},[(0,0,{2},{1},[C_3,C_4]),S_1,S_10,S_16,S_5,S_9])
3,57a8	(1,2,{1,3},{},[(0,0,{2},{1},[C_3,C_4]),S_1,S_10,S_5,S_9])
2,3,1a	(1,2,{1,3},{},[(0,1,{0,2},{},[S_1⊕1]),C_3⊕1,S_10,S_13,S_18,S_5,S_7])
3,4,3a	(1,2,{1,3},{},[(0,1,{0,2},{},[S_1⊕1]),S_1,S_10,S_13,S_5,S_9])
577a88	(1,2,{1,3},{},[(0,3,{0,1},{},[C_3,C_4,S_1⊕1]),C_3⊕1,S_10,S_16,S_5,S_9])
173a8	(1,2,{1,3},{},[(0,3,{1,2},{},[C_3,S_1⊕1]),C_3⊕1,S_1,S_5,S_9])
a,277388	(1,2,{1,3},{},[(0,3,{2},{},[C_3,S_1⊕1]),C_3⊕1,S_10,S_11,S_13,S_16,S_19,S_8,S_9])
a,1728	(1,2,{1,3},{},[(0,3,{2},{},[C_3,S_1⊕1]),C_3⊕1,S_11,S_19,S_8])
137a8	(1,2,{1,3},{},[(2,3,{2},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_1,S_16,S_5,S_9])
27387a8	(1,2,{1,3},{},[(2,3,{2},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_10,S_11,S_13,S_15,S_20,S_5,S_7,S_9])
127a8	(1,2,{1,3},{},[(2,3,{2},{},[C_3,S_1,S_1⊕1]),C_3⊕1,S_11,S_15,S_5,S_7])
34,3a	(1,2,{1,3},{},[(2,3,{2},{},[C_3,S_1,S_1⊕1]),S_1,S_13,S_9])
3,a,12	(1,2,{1,3},{},[C_3⊕1,S_1,S_10,S_13,S_16,S_8,S_9])
1,1a	(1,2,{1,3},{},[C_3⊕1,S_1,S_7,S_9])
1,33a	(1,2,{1,3},{},[C_3⊕1,S_1,S_7,S_9])
1,37a8	(1,2,{1,3},{},[C_3⊕1,S_1,S_7,S_9])
1,5a	(1,2,{1,3},{},[C_3⊕1,S_1,S_7,S_9])
1a,23	(1,2,{1,3},{},[C_3⊕1,S_1,S_7,S_9])
23,37a8	(1,2,{1,3},{},[C_3⊕1,S_1,S_7,S_9])
23,5a	(1,2,{1,3},{},[C_3⊕1,S_1,S_7,S_9])
5,1a	(1,2,{1,3},{},[C_3⊕1,S_1,S_7])
5,37a8	(1,2,{1,3},{},[C_3⊕1,S_1,S_7])
5,5a	(1,2,{1,3},{},[C_3⊕1,S_1,S_7])
3,277a88	(1,2,{1,3},{},[C_3⊕1,S_10,S_13,S_16,S_17,S_5,S_7,S_9])
a,2758	(1,2,{1,3},{},[C_3⊕1,S_10,S_13,S_16,S_8,S_9])
257a8	(1,2,{1,3},{},[C_3⊕1,S_10,S_13,S_20,S_5,S_7,S_9])
a,123	(1,2,{1,3},{},[C_3⊕1,S_11,S_16,S_19,S_8,S_9])
12a3	(1,2,{1,3},{},[C_3⊕1,S_15,S_5,S_7,S_9])
3a,2728	(1,2,{1,3},{},[S_1,S_13,S_7,S_8,S_9])
12,3a	(1,2,{1,3},{},[S_1,S_13,S_8,S_9])
25,3a	(1,2,{1,3},{},[S_1,S_13,S_8,S_9])
3a,2738	(1,2,{1,3},{},[S_1,S_13,S_8,S_9])
4,33a	(1,2,{1,3},{},[S_10,S_11,S_13,S_7,S_9])
0,2,a	(1,2,{1,3},{},[S_11,S_19,S_8])
123a	(1,2,{1,3},{},[S_11,S_5,S_7,S_9])
a,1738	(1,2,{1},{},[(0,3,{2},{},[C_3,S_1⊕1]),C_3⊕1,S_16,S_8,S_9])
a,11	(1,2,{1},{},[(0,3,{2},{},[C_3,S_1⊕1]),C_3⊕1,S_8])
a,15	(1,2,{1},{},[C_3⊕1,S_16,S_8,S_9])
3AB|3,ABa	(1,2,{3},{},[(0,3,{0},{1},[C_4,S_1⊕1]),C_3⊕1,S_1,S_10,S_13,S_16,S_9])
6,3a	(1,2,{3},{},[(0,3,{2},{},[C_3,S_1⊕1]),(2,3,{2},{},[C_3,S_1,S_1⊕1]),S_1,S_13])
3,6,a	(1,2,{3},{},[(0,3,{2},{},[C_3,S_1⊕1]),C_3⊕1,S_1,S_10,S_13,S_19])
3AB|3ABa	(1,2,{3},{},[C_3⊕1,S_1,S_10,S_11,S_13,S_16,S_9])
3AB|3a,AB	(1,2,{3},{},[C_3⊕1,S_1,S_10,S_13,S_16,S_9])
2,2,2,3a	(1,3,{0,1,2},{},[(0,2,{0,1},{},[S_1⊕1]),S_1])
2,2,2,2a	(1,3,{0,1,2},{},[(0,2,{0,1},{},[S_1⊕1])])
5,22a	(1,3,{0,1},{},[C_3⊕1,S_1,S_14,S_5])
2,2,3,2a	(1,4,{0,1,2,3},{},[(0,1,{0,2},{},[S_1⊕1]),(0,2,{0,1},{},[S_1⊕1])])
2,3,22a	(1,4,{0,1,2,3},{},[(0,1,{0,2},{},[S_1⊕1]),C_3⊕1,S_10,S_13,S_14,S_5])
1,2,3a	(1,4,{0,1,2,3},{},[(0,2,{0,1},{},[S_1⊕1]),S_1,S_13,S_18,S_6])
3,222a	(1,4,{0,1,2,3},{},[C_3⊕1,S_10,S_13,S_14,S_5])
2,5,3a	(1,4,{0,1,2},{},[(0,2,{0,1},{},[S_1⊕1]),S_1,S_13,S_6,S_7])
AB|3,3AaB	(1,4,{0,1,3},{},[(0,0,{2},{1},[C_3,C_4]),(0,3,{0,1},{},[C_3,C_4,S_1⊕1]),(2,2,{0,1},{},[C_3,S_1,S_1⊕1]),S_10,S_13,S_20,S_5,S_9])
2,3,3,2a	(1,4,{0,1,3},{},[(0,1,{0,2},{},[S_1⊕1]),(0,2,{0,1},{},[S_1⊕1]),S_1])
2,3,27a8	(1,4,{0,1,3},{},[(0,1,{0,2},{},[S_1⊕1]),C_3⊕1,S_10,S_13,S_14,S_18,S_5])
23,22a	(1,4,{0,1,3},{},[C_3⊕1,S_1,S_14,S_17,S_5])
1,22a	(1,4,{0,1,3},{},[C_3⊕1,S_1,S_14,S_17])
22738a	(1,4,{0,1,3},{},[C_3⊕1,S_10,S_11,S_13,S_14,S_15,S_5,S_7])
2,3738a	(1,4,{0,1,3},{},[C_3⊕1,S_10,S_11,S_13,S_15,S_18,S_5,S_6,S_7,S_9])
3,2728a	(1,4,{0,1,3},{},[C_3⊕1,S_10,S_13,S_14,S_16,S_17,S_5,S_9])
225a	(1,4,{0,1,3},{},[C_3⊕1,S_10,S_13,S_14,S_5,S_7])
2,35a	(1,4,{0,1,3},{},[C_3⊕1,S_10,S_13,S_18,S_5,S_6,S_7])
122a	(1,4,{0,1,3},{},[S_11,S_14,S_15,S_5])
